Date,Day number,Open,High,Low,Close,Adj Close,Volume
3-Jan-22,1,1147.75,1201.07,1136.04,1199.78,1199.78,34643800
4-Jan-22,2,1189.55,1208,1123.05,1149.59,1149.59,33416100
5-Jan-22,3,1146.65,1170.34,1081.01,1088.12,1088.12,26706600
6-Jan-22,4,1077,1088,1020.5,1064.7,1064.7,30112200
7-Jan-22,5,1080.37,1080.93,1010,1026.96,1026.96,28054900
10-Jan-22,6,1000,1059.1,980,1058.12,1058.12,30605000
11-Jan-22,7,1053.67,1075.85,1038.82,1064.4,1064.4,22021100
12-Jan-22,8,1078.85,1114.84,1072.59,1106.22,1106.22,27913000
13-Jan-22,9,1109.07,1115.6,1026.54,1031.56,1031.56,32403300
14-Jan-22,10,1019.88,1052,1013.38,1049.61,1049.61,24308100
18-Jan-22,11,1026.61,1070.79,1016.06,1030.51,1030.51,22247800
19-Jan-22,12,1041.71,1054.67,995,995.65,995.65,25147500
20-Jan-22,13,1009.73,1041.66,994,996.27,996.27,23496200
21-Jan-22,14,996.34,1004.55,940.5,943.9,943.9,34472000
24-Jan-22,15,904.76,933.51,851.47,930,930,50521900
25-Jan-22,16,914.2,951.26,903.21,918.4,918.4,28865300
26-Jan-22,17,952.43,987.69,906,937.41,937.41,34955800
27-Jan-22,18,933.36,935.39,829,829.1,829.1,49036500
28-Jan-22,19,831.56,857.5,792.01,846.35,846.35,44929700
31-Jan-22,20,872.71,937.99,862.05,936.72,936.72,34812000
1-Feb-22,21,935.21,943.7,905,931.25,931.25,24379400
2-Feb-22,22,928.18,931.5,889.41,905.66,905.66,22264300
3-Feb-22,23,882,937,880.52,891.14,891.14,26285200
4-Feb-22,24,897.22,936.5,881.17,923.32,923.32,24541800
7-Feb-22,25,923.79,947.77,902.71,907.34,907.34,20331500
8-Feb-22,26,905.53,926.29,894.8,922,922,16909700
9-Feb-22,27,935,946.27,920,932,932,17419800
10-Feb-22,28,908.37,943.81,896.7,904.55,904.55,22042300
11-Feb-22,29,909.63,915.96,850.7,860,860,26548600
14-Feb-22,30,861.57,898.88,853.15,875.76,875.76,22585500
15-Feb-22,31,900,923,893.38,922.43,922.43,19095400
16-Feb-22,32,914.05,926.43,901.21,923.39,923.39,17098100
17-Feb-22,33,913.26,918.5,874.1,876.35,876.35,18392800
18-Feb-22,34,886,886.87,837.61,856.98,856.98,22833900
22-Feb-22,35,834.13,856.73,801.1,821.53,821.53,27762700
23-Feb-22,36,830.43,835.3,760.56,764.04,764.04,31752300
24-Feb-22,37,700.39,802.48,700,800.77,800.77,45107400
25-Feb-22,38,809.23,819.5,782.4,809.87,809.87,25355900
28-Feb-22,39,815.01,876.86,814.71,870.43,870.43,33002300
1-Mar-22,40,869.68,889.88,853.78,864.37,864.37,24922300
2-Mar-22,41,872.13,886.48,844.27,879.89,879.89,24881100
3-Mar-22,42,878.77,886.44,832.6,839.29,839.29,20541200
4-Mar-22,43,849.1,855.65,825.16,838.29,838.29,22333200
7-Mar-22,44,856.3,866.14,804.57,804.58,804.58,24164700
8-Mar-22,45,795.53,849.99,782.17,824.4,824.4,26799700
9-Mar-22,46,839.48,860.56,832.01,858.97,858.97,19728000
10-Mar-22,47,851.45,854.45,810.36,838.3,838.3,19549500
11-Mar-22,48,840.2,843.8,793.77,795.35,795.35,22345700
14-Mar-22,49,780.61,800.7,756.04,766.37,766.37,23717400
15-Mar-22,50,775.27,805.57,756.57,801.89,801.89,22280400
16-Mar-22,51,809,842,802.26,840.23,840.23,28009600
17-Mar-22,52,830.99,875,825.72,871.6,871.6,22194300
18-Mar-22,53,874.49,907.85,867.39,905.39,905.39,33471400
21-Mar-22,54,914.98,942.85,907.09,921.16,921.16,27327200
22-Mar-22,55,930,997.86,921.75,993.98,993.98,35289500
23-Mar-22,56,979.94,1040.7,976.4,999.11,999.11,40225400
24-Mar-22,57,1009.73,1024.49,988.8,1013.92,1013.92,22973600
25-Mar-22,58,1008,1021.8,997.32,1010.64,1010.64,20677200
28-Mar-22,59,1065.1,1097.88,1053.6,1091.84,1091.84,34168700
29-Mar-22,60,1107.99,1114.77,1073.11,1099.57,1099.57,24538300
30-Mar-22,61,1091.17,1113.95,1084,1093.99,1093.99,19955000
31-Mar-22,62,1094.57,1103.14,1076.64,1077.6,1077.6,16330900
1-Apr-22,63,1081.15,1094.75,1066.64,1084.59,1084.59,18087700
4-Apr-22,64,1089.38,1149.91,1072.53,1145.45,1145.45,27345300
5-Apr-22,65,1136.3,1152.87,1087.3,1091.26,1091.26,26691700
6-Apr-22,66,1073.47,1079,1027.7,1045.76,1045.76,29782800
7-Apr-22,67,1052.39,1076.59,1021.54,1057.26,1057.26,26482400
8-Apr-22,68,1043.21,1048.44,1022.44,1025.49,1025.49,18337900
11-Apr-22,69,980.4,1008.47,974.64,975.93,975.93,19785700
12-Apr-22,70,997.64,1021.19,976.6,986.95,986.95,21992000
13-Apr-22,71,981.08,1026.24,973.1,1022.37,1022.37,18373700
14-Apr-22,72,999.29,1012.71,982.19,985,985,19474100
18-Apr-22,73,989.03,1014.92,973.41,1004.29,1004.29,17238400
19-Apr-22,74,1005.06,1034.94,995.33,1028.15,1028.15,16615900
20-Apr-22,75,1030,1034,975.25,977.2,977.2,23570400
21-Apr-22,76,1074.73,1092.22,996.42,1008.78,1008.78,35138800
22-Apr-22,77,1014.91,1034.85,994,1005.05,1005.05,23232200
25-Apr-22,78,978.97,1008.62,975.3,998.02,998.02,22780400
26-Apr-22,79,995.43,1000,875,876.42,876.42,45377900
27-Apr-22,80,898.58,918,877.36,881.51,881.51,25652100
28-Apr-22,81,899.98,900,821.7,877.51,877.51,41649500
29-Apr-22,82,902.25,934.4,870,870.76,870.76,29377700
2-May-22,83,860.77,906.36,848.03,902.94,902.94,25260500
3-May-22,84,903.18,924.08,888.59,909.25,909.25,21236500
4-May-22,85,903.94,955.5,885.28,952.62,952.62,27214600
5-May-22,86,939.02,945.6,857.7,873.28,873.28,30839700
6-May-22,87,887,888,843.11,865.65,865.65,24301000
9-May-22,88,836.45,845.63,781.15,787.11,787.11,30270100
10-May-22,89,819.31,825.36,774.25,800.04,800.04,28133900
11-May-22,90,795,809.77,727.2,734,734,32408200
12-May-22,91,701,759.66,680,728,728,46771000
13-May-22,92,773.48,787.35,751.57,769.59,769.59,30716900
16-May-22,93,767.16,769.76,719.09,724.37,724.37,28699500
17-May-22,94,747.36,764.48,728.85,761.61,761.61,26745400
18-May-22,95,744.52,760.5,700.81,709.81,709.81,29270600
19-May-22,96,707,734,694.11,709.42,709.42,30098900
20-May-22,97,713.99,721.58,633,663.9,663.9,48324400
23-May-22,98,655.02,679.96,638.06,674.9,674.9,29634500
24-May-22,99,653.53,653.92,620.57,628.16,628.16,29697500
25-May-22,100,623.85,669.32,623.01,658.8,658.8,30713100
26-May-22,101,661.42,718.67,653.66,707.73,707.73,35334400
27-May-22,102,723.25,759.8,720.53,759.63,759.63,29765000
31-May-22,103,773.84,778.8,734.23,758.26,758.26,33971500
1-Jun-22,104,755.16,771.98,730.92,740.37,740.37,25749300
2-Jun-22,105,732.47,792.63,726.2,775,775,31157700
3-Jun-22,106,729.68,743.39,700.25,703.55,703.55,37348100
6-Jun-22,107,733.06,734.6,703.05,714.84,714.84,28068200
7-Jun-22,108,702,719.99,690.28,716.66,716.66,24269500
8-Jun-22,109,720.26,749.89,717.53,725.6,725.6,25403500
9-Jun-22,110,748.02,766.64,717.98,719.12,719.12,32163800
10-Jun-22,111,705.47,718.5,683.74,696.69,696.69,32512200
13-Jun-22,112,669.5,679.9,644.05,647.21,647.21,34255800
14-Jun-22,113,654.86,678.99,635.21,662.67,662.67,32662900
15-Jun-22,114,662.75,706.99,654.45,699,699,39710600
